company_name,company_country,company_acquired_on,company_acquired_for,company_used_as,company_acquired_for_million
Bookpages,United Kingdom,27-04-1998,"5,50,00,000",Amazon UK,55
Telebook,Germany,27-04-1998,"55,000,000
stock payment",Amazon Germany,
IMDb,United Kingdom,27-04-1998,"5,50,00,000",IMDb,55
Junglee,United States,04-08-1998,"25,00,00,000",,250
PlanetAll,United States,04-08-1998,"28,00,00,000",,280
LiveBid.com,United States,12-04-1999,"30,00,00,000",,300
Accept.com,United States,27-04-1999,"10,17,00,000",,101.7
Alexa Internet,United States,27-04-1999,"25,00,00,000",Alexa Internet,250
e-Niche Incorporated,United States,27-04-1999,Undisclosed,,
Convergence Corporation,United States,04-10-1999,"2,30,00,000",,23
Tool Crib of the North (Online and Catalog Sales Division),United States,09-11-1999,Undisclosed,,
Back to Basics Toys,United States,30-11-1999,Undisclosed,,
Leep Technology Inc.,United States,31-12-1999,Undisclosed,,
MindCorps Incorporated,United States,,Undisclosed,,
Egghead Software,United States,05-12-2001,"61,00,000",,6.1
OurHouse.com,United States,,Undisclosed,,
Joyo.com,China,19-08-2004,"7,50,00,000",Amazon China,75
BookSurge,United States,04-04-2005,Undisclosed,CreateSpace,
Mobipocket,France,21-04-2005,Undisclosed,Mobipocket,
CustomFlix,United States,06-07-2005,Undisclosed,CreateSpace,
smallparts.com,United States,,Undisclosed,Amazon Business,
Shopbop,United States,27-02-2006,Undisclosed,Shopbop,
TextPayMe,United States,01-10-2006,"30,00,000",Amazon Payments,3
Digital Photography Review,United Kingdom,14-05-2007,Undisclosed,Digital Photography Review,
Brilliance Audio,United States,23-05-2007,Undisclosed,Brilliance Audio,
Withoutabox,United States,16-01-2008,Undisclosed,,
Audible,United States,28-01-2008,"30,00,00,000",Audible,300
Fabric.com,United States,25-06-2008,Undisclosed,Fabric.com,
AbeBooks,Canada,01-08-2008,Undisclosed,AbeBooks,
Shelfari,United States,26-08-2008,Undisclosed,Goodreads,
Reflexive Entertainment,United States,21-10-2008,Undisclosed,Reflexive Entertainment,
Box Office Mojo,United States,17-12-2008,Undisclosed,Box Office Mojo,
Lexcycle,United States,27-04-2009,Undisclosed,Amazon Kindle,
SnapTell,United States,18-06-2009,Undisclosed,,
Zappos,United States,02-11-2009,"1,20,00,00,000",Zappos,1200
Touchco,United States,03-02-2010,Undisclosed,Amazon Kindle,
Woot,United States,02-07-2010,"11,00,00,000",Woot,110
Amie Street,United States,08-09-2010,Undisclosed,Songza,
BuyVIP,Spain,04-10-2010,"10,00,00,000",BuyVIP,100
Quidsi,United States,08-11-2010,"54,50,00,000",Amazon Prime Now - Amazon Fresh,545
Toby Press,United States,18-11-2010,Undisclosed,,
LoveFilm,United Kingdom,20-01-2011,"31,20,00,000",Amazon Prime Video,312
The Book Depository,United Kingdom,04-07-2011,Undisclosed,Book Depository,
Pushbutton,United Kingdom,28-07-2011,Undisclosed,,
Yap,United States,,Undisclosed,Amazon Echo,
Double Helix Games,United States,05-09-2011,Undisclosed,Double Helix Games,
Teachstreet,United States,02-02-2012,Undisclosed,,
Kiva Systems,United States,19-03-2012,"77,50,00,000",Amazon Robotics,775
Evi,United Kingdom,17-04-2012,"2,60,00,000",Amazon Echo,26
Avalon Books,United States,17-04-2012,Undisclosed,Amazon Publishing,
UpNext,United States,02-07-2012,Undisclosed,UpNext,
IVONA Software,Poland,24-01-2013,Undisclosed,"Amazon Echo, Amazon Polly",
Goodreads,United States,28-03-2013,Undisclosed,Goodreads,
Liquavista,Netherlands,13-05-2013,Undisclosed,Amazon Kindle,
"TenMarks Education, Inc.",United States,10-10-2013,Undisclosed,"TenMarks Education, Inc.",
