company_name,company_country,company_acquired_on,company_acquired_for,before_date,before_open,before_close,before_volume,after_date,after_open,after_close,after_volume,pct_change_close,pct_change_open,pct_change_volume,acquisition_year,acquisition_month
Touchco,United States,03-02-2010,Undisclosed,02-02-2010,5.94,5.91,461594000,04-02-2010,5.93,5.8,255680000,-1.86,-0.17,-44.61,2010,2
Woot,United States,02-07-2010,"11,00,00,000",01-07-2010,5.45,5.55,170596000,06-07-2010,5.53,5.5,104386000,-0.9,1.47,-38.81,2010,7
Amie Street,United States,08-09-2010,Undisclosed,07-09-2010,6.88,6.86,77660000,09-09-2010,7.02,7.02,99160000,2.33,2.03,27.68,2010,9
BuyVIP,Spain,04-10-2010,"10,00,00,000",01-10-2010,7.85,7.69,173668000,05-10-2010,7.85,8.04,112400000,4.55,0,-35.28,2010,10
Quidsi,United States,08-11-2010,"54,50,00,000",05-11-2010,8.47,8.54,104244000,09-11-2010,8.63,8.51,79572000,-0.35,1.89,-23.67,2010,11
Toby Press,United States,18-11-2010,Undisclosed,17-11-2010,7.89,7.92,90498000,19-11-2010,8.2,8.24,89296000,4.04,3.93,-1.33,2010,11
LoveFilm,United Kingdom,20-01-2011,"31,20,00,000",19-01-2011,9.55,9.34,77648000,21-01-2011,9.15,8.87,136124000,-5.03,-4.19,75.31,2011,1
The Book Depository,United Kingdom,04-07-2011,Undisclosed,01-07-2011,10.28,10.47,80174000,05-07-2011,10.44,10.66,71704000,1.81,1.56,-10.56,2011,7
Pushbutton,United Kingdom,28-07-2011,Undisclosed,27-07-2011,11.22,11.13,259112000,29-07-2011,11.06,11.13,103354000,0,-1.43,-60.11,2011,7
Double Helix Games,United States,05-09-2011,Undisclosed,02-09-2011,10.45,10.5,84640000,06-09-2011,10.24,10.81,124324000,2.95,-2.01,46.89,2011,9
Teachstreet,United States,02-02-2012,Undisclosed,01-02-2012,8.69,8.97,426732000,03-02-2012,9.14,9.38,162410000,4.57,5.18,-61.94,2012,2
Kiva Systems,United States,19-03-2012,"77,50,00,000",16-03-2012,9.16,9.25,98680000,20-03-2012,9.24,9.62,183308000,4,0.87,85.76,2012,3
Evi,United Kingdom,17-04-2012,"2,60,00,000",16-04-2012,9.45,9.27,80886000,18-04-2012,9.44,9.55,80038000,3.02,-0.11,-1.05,2012,4
Avalon Books,United States,17-04-2012,Undisclosed,16-04-2012,9.45,9.27,80886000,18-04-2012,9.44,9.55,80038000,3.02,-0.11,-1.05,2012,4
UpNext,United States,02-07-2012,Undisclosed,29-06-2012,11.23,11.42,72288000,03-07-2012,11.46,11.48,26634000,0.53,2.05,-63.16,2012,7
IVONA Software,Poland,24-01-2013,Undisclosed,23-01-2013,13.53,13.41,50178000,25-01-2013,13.75,14.2,99362000,5.89,1.63,98.02,2013,1
Goodreads,United States,28-03-2013,Undisclosed,27-03-2013,12.94,13.27,57498000,01-04-2013,13.35,13.08,50496000,-1.43,3.17,-12.18,2013,3
Liquavista,Netherlands,13-05-2013,Undisclosed,10-05-2013,13.04,13.18,62906000,14-05-2013,13.23,13.42,54000000,1.82,1.46,-14.16,2013,5
